state	min	max	mean	rates	root	lnL	lnL.p	lnL.h
100	0.083	40.268	0.978	5	NA	-104.35	0.00	-4.05
200	0.083	40.268	1.000	5	NA	-105.87	0.00	-0.26
300	0.129	40.268	0.948	4	NA	-107.87	0.00	0.00
400	0.129	40.268	0.948	4	NA	-107.87	0.00	-1.05
500	0.129	40.268	0.948	4	NA	-107.87	0.00	-0.69
600	0.005	40.268	0.942	5	NA	-102.12	-1.98	-3.27
700	0.005	40.268	0.954	5	NA	-103.64	-1.98	-3.27
800	0.005	40.268	0.954	6	NA	-102.78	0.00	-0.18
900	0.072	40.268	0.923	5	NA	-107.79	0.00	-0.22
1000	0.093	40.268	0.943	5	NA	-107.07	0.00	-1.11
1100	0.093	40.268	1.481	5	NA	-109.64	-1.98	-3.27
1200	0.093	40.268	0.943	5	NA	-107.00	0.00	-0.69
1300	0.093	40.268	0.943	5	NA	-107.00	0.00	-0.11
1400	0.052	40.268	0.921	6	NA	-102.88	0.00	-2.49
1500	0.052	40.268	0.921	6	NA	-102.88	0.00	-0.69
1600	0.080	40.268	0.947	6	NA	-102.17	-2.16	-3.08
1700	0.080	40.268	1.472	6	NA	-106.54	-2.16	-3.08
1800	0.080	40.268	0.941	6	NA	-103.25	0.00	0.00
1900	0.113	40.268	0.946	5	NA	-103.55	1.75	3.50
2000	0.113	40.268	0.935	5	NA	-104.82	0.00	-0.05
2100	0.113	40.268	0.946	5	NA	-103.55	0.00	0.00
2200	0.113	40.268	0.935	5	NA	-104.82	-1.98	-3.27
2300	0.128	40.268	0.947	4	NA	-107.78	0.00	0.00
2400	0.079	40.268	0.899	4	NA	-106.12	0.00	-0.74
2500	0.079	40.268	1.410	4	NA	-108.87	-1.75	-3.50
2600	0.056	40.268	0.906	5	NA	-103.76	0.00	-0.59
2700	0.043	40.268	0.899	6	NA	-99.83	-2.16	-3.08
2800	0.012	40.268	0.902	6	NA	-99.90	0.00	-0.69
2900	0.012	40.268	0.896	6	NA	-98.45	-2.16	-3.08
3000	0.012	40.268	0.893	6	NA	-98.44	-2.16	-3.08
3100	0.012	40.268	0.894	6	NA	-98.52	0.00	0.69
3200	0.012	40.268	0.884	6	NA	-102.31	0.00	-0.11
3300	0.012	40.676	0.889	5	NA	-106.47	0.00	0.00
3400	0.012	40.676	0.896	6	NA	-99.12	0.00	-0.27
3500	0.045	35.838	1.334	5	NA	-104.84	0.00	-0.16
3600	0.045	35.838	0.640	5	NA	-96.63	-1.98	-3.27
3700	0.045	35.838	0.723	5	NA	-97.43	0.00	-0.04
3800	0.045	35.838	1.165	5	NA	-99.05	-1.98	-3.27
3900	0.045	35.838	1.251	5	NA	-100.66	0.00	-1.13
4000	0.045	35.838	1.168	5	NA	-99.86	0.00	-1.78
4100	0.045	35.838	0.643	5	NA	-97.44	0.00	-0.28
4200	0.045	35.838	0.640	5	NA	-96.63	0.00	-0.69
4300	0.080	35.838	0.640	4	NA	-100.54	0.00	-0.69
4400	0.080	35.838	0.808	4	NA	-99.81	0.00	-0.18
4500	0.080	35.838	1.859	4	NA	-105.64	0.00	-0.01
4600	0.080	35.838	0.808	4	NA	-100.01	-1.75	-3.50
4700	0.013	35.838	0.819	6	NA	-93.87	0.00	-3.26
4800	0.013	35.838	0.655	6	NA	-95.20	0.00	-0.69
4900	0.091	35.838	0.651	4	NA	-101.11	-1.75	-3.50
5000	0.091	35.838	0.735	4	NA	-101.59	0.00	-0.69
5100	0.091	35.838	0.651	4	NA	-101.11	0.00	-0.64
5200	0.091	35.838	0.651	4	NA	-101.11	-1.75	-3.50
5300	0.099	35.838	0.826	4	NA	-101.61	0.00	-0.69
5400	0.063	35.838	0.792	4	NA	-99.65	-1.75	-3.50
5500	0.063	35.838	0.708	4	NA	-101.46	0.00	-0.48
5600	0.069	35.838	0.798	4	NA	-99.59	-1.75	-3.50
5700	0.069	35.838	0.630	4	NA	-100.95	-1.75	-3.50
5800	0.066	35.838	0.627	4	NA	-101.17	0.00	-0.69
5900	0.066	35.838	0.795	4	NA	-99.59	-1.75	-3.50
